Year,County,Soil_pH,Soil_Clay_Pct,Soil_Organic_Carbon,M5_ALLSKY_SFC_SW_DWN,M6_ALLSKY_SFC_SW_DWN,M7_ALLSKY_SFC_SW_DWN,M8_ALLSKY_SFC_SW_DWN,M9_ALLSKY_SFC_SW_DWN,M10_ALLSKY_SFC_SW_DWN,M5_PRECTOTCORR,M6_PRECTOTCORR,M7_PRECTOTCORR,M8_PRECTOTCORR,M9_PRECTOTCORR,M10_PRECTOTCORR,M5_QV2M,M6_QV2M,M7_QV2M,M8_QV2M,M9_QV2M,M10_QV2M,M5_RH2M,M6_RH2M,M7_RH2M,M8_RH2M,M9_RH2M,M10_RH2M,M5_T2M,M6_T2M,M7_T2M,M8_T2M,M9_T2M,M10_T2M,M5_T2MDEW,M6_T2MDEW,M7_T2MDEW,M8_T2MDEW,M9_T2MDEW,M10_T2MDEW,M5_T2M_MAX,M6_T2M_MAX,M7_T2M_MAX,M8_T2M_MAX,M9_T2M_MAX,M10_T2M_MAX,M5_T2M_MIN,M6_T2M_MIN,M7_T2M_MIN,M8_T2M_MIN,M9_T2M_MIN,M10_T2M_MIN,M5_WS2M,M6_WS2M,M7_WS2M,M8_WS2M,M9_WS2M,M10_WS2M
2006,YOUNG,,,,26.25,27.72,26.23,22.94,19.52,15.38,2.48,1.34,0.53,1.2,2.36,2.07,10.98,11.1,12.35,12.76,9.95,7.82,58.12,45.75,44.61,43.23,53.56,55.61,24.37,29.12,31.47,32.35,23.9,18.92,14.33,14.7,16.57,17.15,12.64,8.84,38.04,41.05,42.47,42.07,35.94,34.42,9.44,16.61,19.65,19.73,11.87,3.06,3.54,3.1,3.41,3.02,2.96,3.35
2007,YOUNG,,,,18.82,20.71,23.08,22.98,18.86,17.13,5.41,8.8,2.51,2.0,3.26,1.04,13.14,15.85,16.48,16.27,14.24,9.11,78.15,78.13,77.6,67.82,71.0,58.83,21.9,25.11,25.96,28.34,25.09,20.12,17.55,20.62,21.36,21.12,18.91,10.86,30.53,34.8,33.15,37.79,33.74,33.64,12.64,16.89,19.12,21.68,15.31,4.07,2.78,2.81,2.16,2.91,2.64,3.24
2008,YOUNG,,,,25.04,26.47,25.13,21.15,19.63,16.97,2.52,2.27,0.77,3.45,2.2,2.02,10.76,12.97,12.82,14.14,10.96,7.68,57.51,50.6,47.75,59.48,59.0,55.31,23.75,29.89,30.72,28.54,24.05,18.82,13.61,17.36,17.22,18.8,14.45,8.55,37.89,39.99,42.22,41.33,36.71,35.1,6.83,19.9,20.82,18.64,11.23,3.14,3.8,4.14,3.25,2.45,2.63,3.29
2009,YOUNG,,,,21.09,24.87,24.93,24.82,15.69,11.93,2.58,2.11,3.63,1.02,4.9,4.96,11.13,13.11,13.03,13.06,12.12,8.93,64.14,52.52,50.46,49.95,66.95,73.11,22.8,29.35,30.28,30.08,23.47,16.11,14.69,17.45,17.39,17.49,16.11,10.66,37.77,41.84,42.37,41.07,37.31,32.38,8.89,15.59,19.96,18.13,10.43,3.93,3.0,3.46,2.79,3.03,2.83,3.44
2010,YOUNG,,,,21.89,25.47,22.9,23.94,19.62,17.12,2.96,2.61,3.52,0.76,5.57,0.9,11.72,14.8,15.97,13.67,14.05,7.18,64.77,59.46,65.23,47.51,67.58,52.16,23.08,29.09,28.71,31.42,25.37,18.92,15.18,19.51,20.79,18.09,18.2,7.85,34.99,38.96,38.39,41.39,35.66,30.83,8.93,19.35,21.48,20.37,9.1,5.97,3.06,3.5,2.93,2.63,2.96,2.68
2011,YOUNG,,,,24.6,28.38,26.6,24.63,20.63,16.29,2.19,0.82,0.02,1.29,1.0,4.67,9.42,11.13,11.53,11.94,7.95,7.96,50.28,38.72,34.0,37.2,38.57,59.17,23.88,32.11,34.55,34.05,26.12,18.49,11.33,14.81,15.58,15.97,9.15,9.06,43.18,43.74,43.65,44.48,41.19,33.89,5.02,21.3,25.37,22.68,12.14,2.91,4.42,4.38,3.12,3.03,2.83,3.21
2012,YOUNG,,,,23.77,25.84,25.88,22.55,18.79,14.8,2.17,2.16,0.78,2.53,3.63,0.55,11.56,13.48,12.92,12.22,10.4,8.22,59.07,56.81,46.7,48.21,53.34,58.82,24.95,28.49,31.29,29.96,25.45,18.03,15.43,17.91,17.37,16.21,13.63,8.98,39.3,42.77,42.79,44.3,41.46,33.78,12.79,14.8,22.39,17.46,12.74,1.34,3.55,3.16,2.96,2.65,2.92,3.14
2013,YOUNG,,,,22.61,26.53,23.54,23.95,19.13,14.57,1.62,2.41,3.24,1.09,2.13,1.77,10.56,12.71,13.15,13.21,11.7,8.93,57.11,52.79,54.0,49.57,52.19,62.65,23.28,28.66,28.91,30.44,27.21,19.07,12.93,16.96,17.34,17.77,15.53,10.73,38.99,42.18,40.91,41.37,41.45,34.72,3.64,16.23,17.69,19.35,12.15,2.29,4.07,3.37,2.96,2.73,2.58,3.35
2014,YOUNG,,,,24.64,24.14,22.76,23.32,18.05,16.42,1.89,3.04,2.4,1.49,1.19,1.59,9.41,14.48,13.17,12.82,12.43,8.91,51.06,63.02,54.78,48.94,59.85,55.31,23.91,27.6,28.77,30.17,25.78,21.42,11.11,19.11,17.64,17.23,16.61,11.11,38.49,38.58,40.22,41.64,40.15,37.42,6.27,15.69,16.95,18.99,11.89,7.56,3.75,4.0,2.89,2.8,2.56,3.19
2015,YOUNG,,,,18.76,25.45,25.9,22.32,20.07,14.88,11.4,4.36,3.38,0.66,0.83,5.36,13.31,16.23,15.89,14.05,12.54,8.49,80.58,76.3,65.43,55.68,54.95,56.13,21.5,25.99,28.38,29.18,27.41,20.66,17.6,21.08,20.74,18.69,16.75,10.25,30.13,33.94,37.47,39.61,37.65,35.51,11.25,15.36,18.35,17.96,18.04,6.24,3.32,2.81,3.07,2.61,2.76,2.75
2016,YOUNG,,,,21.72,25.43,26.64,21.96,19.68,16.96,6.27,2.52,1.58,4.26,3.95,1.72,12.4,16.09,15.71,15.22,14.38,10.7,76.09,74.64,58.87,65.23,70.45,67.25,21.11,26.16,30.14,27.98,25.13,21.01,16.19,20.88,20.54,19.97,18.84,14.15,32.93,34.61,38.85,39.12,35.33,33.34,7.71,15.51,22.17,18.25,10.61,8.97,3.19,2.61,3.36,2.67,2.56,3.1
2017,YOUNG,,,,24.78,24.59,25.84,20.56,18.74,17.41,1.92,4.7,2.19,3.02,3.2,0.8,9.7,14.75,15.08,14.99,11.83,8.37,54.83,67.08,56.76,63.11,57.5,56.22,23.13,26.85,30.24,28.06,25.9,18.8,12.21,19.47,19.88,19.68,15.62,8.93,38.2,40.32,40.44,37.23,38.98,32.75,7.01,17.66,21.31,17.54,14.71,0.7,3.59,3.04,2.49,2.64,2.88,3.32
2018,YOUNG,,,,26.18,26.76,24.61,22.62,15.57,11.71,1.92,1.16,1.36,1.58,5.2,7.77,12.24,13.96,12.93,13.68,14.64,10.47,56.69,51.76,46.59,53.2,75.88,79.59,26.82,30.65,31.4,29.77,24.38,17.33,16.37,18.54,17.33,18.23,19.31,13.41,41.31,40.99,44.33,39.49,36.34,33.54,12.59,19.92,21.34,20.31,10.47,1.37,3.52,3.73,2.59,2.89,2.57,2.91
2019,YOUNG,,,,20.6,24.69,26.37,22.4,20.11,15.81,6.39,3.09,0.98,1.55,0.62,1.15,13.1,15.59,15.0,15.09,13.75,7.19,77.91,73.42,60.77,53.34,53.7,51.26,21.63,25.87,28.74,31.46,29.49,18.1,17.25,20.28,19.6,19.84,18.38,6.63,32.09,37.27,38.54,41.5,38.43,35.83,8.17,15.74,18.55,23.0,22.44,-4.1,3.44,2.81,2.79,2.88,3.03,3.66
2020,YOUNG,,,,24.76,27.51,25.02,24.47,17.58,15.55,3.63,2.58,0.88,0.71,4.89,1.75,11.68,13.55,14.83,12.83,12.53,7.53,63.73,58.8,53.39,45.64,70.55,59.09,23.55,27.6,31.17,31.3,22.8,17.53,15.29,17.63,19.5,17.19,16.3,8.12,39.75,37.54,43.92,44.54,35.36,37.98,8.64,14.71,21.95,19.8,9.63,-0.65,3.41,3.34,3.02,2.74,2.59,3.31
2021,YOUNG,,,,19.47,24.51,24.65,22.32,20.65,17.23,5.06,3.07,1.74,3.03,1.34,1.8,12.4,16.16,15.72,15.38,11.45,9.15,77.99,75.11,65.33,62.6,50.8,57.57,20.91,26.16,28.4,28.77,26.93,20.78,16.48,20.92,20.57,20.17,14.8,11.08,32.38,36.96,39.72,38.87,38.8,34.59,9.5,14.31,19.88,19.52,13.24,7.22,3.16,2.68,2.33,2.86,2.53,3.3
2022,YOUNG,,,,23.9,25.91,25.66,21.2,21.7,15.61,2.37,1.54,0.56,2.62,0.73,2.63,11.09,12.46,12.06,13.81,11.37,6.95,53.16,47.97,37.01,52.18,50.24,48.41,26.4,30.38,34.11,30.58,27.31,19.91,14.5,16.68,16.28,18.34,14.86,7.3,41.15,43.55,45.91,41.96,37.44,33.43,9.15,18.72,23.59,20.69,15.09,6.42,4.17,3.15,2.96,2.56,2.57,2.94
2023,YOUNG,,,,22.4,24.48,25.7,24.77,19.91,15.39,3.73,1.42,0.96,0.16,1.76,4.76,12.57,14.24,12.96,10.98,12.31,8.84,69.53,57.87,43.09,32.75,51.24,58.44,23.23,29.49,32.82,34.37,29.0,19.81,16.68,18.72,17.23,14.7,16.51,10.09,37.38,44.62,44.03,45.2,43.84,35.0,10.67,19.14,23.08,20.88,18.63,-1.22,2.65,2.51,2.91,2.86,2.73,3.2
2024,YOUNG,,,,21.23,25.43,25.56,24.26,19.72,17.76,5.48,2.66,1.24,0.56,4.15,0.22,13.94,16.5,14.26,12.84,12.65,8.52,73.47,68.55,54.15,43.31,62.55,47.03,24.1,28.36,30.15,32.58,25.1,23.3,18.23,21.3,18.96,17.22,16.67,10.51,37.33,39.63,40.62,45.02,37.4,37.13,13.38,19.97,20.9,23.1,14.0,8.67,3.1,3.19,2.91,2.9,2.22,3.0
2000,HOCKLEY,,,,28.72,23.75,26.76,25.66,22.47,12.87,0.63,4.84,0.88,0.32,0.06,2.52,5.96,11.97,10.15,9.02,6.28,7.76,31.72,60.42,39.62,35.55,29.93,62.52,24.53,24.16,28.62,28.4,25.22,16.42,3.31,14.79,12.28,10.56,4.66,7.35,42.53,38.78,40.38,38.4,39.46,37.97,8.58,14.36,18.05,19.02,4.68,0.75,4.23,3.68,3.36,3.26,3.09,3.13
2001,HOCKLEY,,,,26.42,29.94,28.37,23.33,21.24,17.6,2.59,0.46,0.31,1.79,1.55,0.3,7.93,8.74,9.89,11.4,9.35,5.35,46.74,37.03,34.99,49.71,50.92,42.71,22.01,27.67,30.42,27.01,22.6,16.88,7.94,9.59,11.95,14.05,10.6,2.48,36.61,40.82,40.74,37.92,36.06,32.42,6.33,12.67,18.65,17.5,9.09,2.69,3.46,3.91,3.57,2.64,2.73,3.22
2002,HOCKLEY,,,,26.92,27.41,26.42,24.76,21.28,12.75,0.4,1.65,1.75,1.58,1.01,2.87,6.65,10.72,12.23,11.38,8.67,7.34,39.33,45.76,53.62,45.4,46.36,63.6,22.35,27.21,26.8,28.16,23.03,14.95,4.68,13.06,15.23,14.06,9.46,6.89,36.67,38.73,39.56,40.0,34.92,31.89,6.33,14.15,18.32,18.54,10.13,-0.35,4.29,4.11,3.02,3.45,2.87,2.81
2003,HOCKLEY,,,,26.38,26.62,28.56,24.22,20.81,16.17,1.3,3.51,0.14,0.7,0.82,0.57,6.28,10.9,10.36,10.39,9.04,6.89,36.22,53.98,42.18,42.58,51.08,48.66,22.72,24.55,28.46,28.19,22.35,18.38,3.49,13.01,12.58,12.69,10.36,5.41,40.42,37.76,40.86,41.68,36.06,32.69,8.78,11.4,18.14,15.42,8.56,3.15,3.82,3.47,3.52,3.19,3.21,2.83
2004,HOCKLEY,,,,28.59,26.56,25.53,24.59,19.44,15.1,0.52,2.99,2.5,2.77,5.77,2.41,6.81,10.35,11.43,12.23,10.17,8.33,39.04,50.23,52.03,60.38,59.39,67.43,22.91,25.37,26.38,24.47,21.84,15.66,5.14,11.78,14.07,15.14,12.01,8.83,37.25,40.72,39.06,36.92,36.33,27.2,5.04,14.04,14.45,15.16,9.62,2.35,4.05,3.43,2.97,2.58,3.12,2.84
2005,HOCKLEY,,,,22.96,29.34,27.56,24.19,21.56,15.13,2.9,0.71,2.01,3.21,0.38,1.83,8.55,10.12,11.88,12.96,9.9,7.58,56.01,45.89,50.3,61.58,49.0,61.5,20.24,26.31,27.2,24.95,24.42,15.88,9.19,11.93,14.8,16.15,11.87,7.47,38.87,38.67,40.39,34.8,36.57,33.28,4.3,13.16,15.54,14.96,11.08,2.69,3.49,3.93,3.18,2.42,2.98,2.71
2006,HOCKLEY,,,,26.55,28.37,26.18,22.79,20.03,16.23,1.12,0.75,1.51,2.78,3.87,1.77,7.08,8.56,10.93,13.12,9.37,7.12,38.8,37.5,42.91,59.35,60.1,57.74,23.94,27.35,28.52,25.75,19.71,15.6,6.16,9.53,13.46,16.34,10.41,6.04,39.43,40.34,39.34,38.08,33.1,33.1,8.04,14.2,18.35,14.92,8.06,1.1,3.39,3.46,2.92,2.47,2.61,3.22
2007,HOCKLEY,,,,22.99,27.38,25.72,24.11,20.76,19.02,4.33,2.82,1.06,1.46,2.58,0.07,9.11,11.79,12.87,13.42,12.31,6.76,64.81,61.58,61.07,60.14,65.82,47.29,18.53,23.37,25.04,26.12,22.96,17.75,10.5,14.4,16.1,16.71,15.31,4.94,31.3,36.76,34.79,38.48,35.07,33.48,9.17,10.11,16.79,18.42,12.86,2.48,3.23,3.03,2.48,3.2,2.82,3.26
2008,HOCKLEY,,,,27.0,29.19,25.26,23.46,20.67,16.42,2.72,2.14,1.74,2.93,3.32,2.12,6.68,9.34,12.03,12.15,9.87,7.02,40.76,40.1,53.3,58.58,62.68,57.69,21.37,27.74,26.19,25.03,20.11,15.68,4.63,10.35,14.96,15.15,11.8,6.05,39.04,41.17,37.95,37.58,33.68,30.96,3.25,13.97,16.28,14.13,9.54,-0.09,3.97,3.99,3.28,2.6,2.37,2.99
2009,HOCKLEY,,,,24.88,26.38,26.46,25.99,20.21,15.43,0.92,3.34,3.01,0.54,1.14,1.06,7.48,10.29,11.74,10.76,9.41,6.24,46.59,47.15,51.08,43.97,56.21,53.84,21.42,26.02,27.1,27.76,21.16,14.78,7.27,11.84,14.49,13.21,10.71,4.09,37.76,38.73,40.64,38.75,35.19,31.6,8.59,13.46,16.52,16.02,6.44,-3.1,3.34,3.13,2.73,3.19,2.66,3.33
2010,HOCKLEY,,,,25.92,27.13,24.23,25.12,20.76,17.45,1.06,2.02,4.99,1.13,1.58,1.25,7.64,11.89,14.63,11.91,11.02,6.19,46.17,49.25,68.22,48.39,56.4,48.02,21.21,27.81,25.08,27.47,23.8,16.97,6.46,14.62,18.07,14.56,13.18,4.67,36.52,41.85,35.48,37.63,36.98,30.3,6.33,17.52,18.26,12.58,10.04,2.2,4.07,3.98,3.03,3.0,2.99,2.8
2011,HOCKLEY,,,,29.86,29.96,27.38,25.32,20.04,18.04,0.14,0.07,0.44,0.27,1.15,0.96,3.71,6.63,9.85,9.62,7.09,5.38,22.87,25.45,33.66,33.1,39.2,43.69,22.22,30.12,30.8,31.08,23.07,16.97,-2.91,5.18,11.85,11.37,6.66,2.54,39.59,44.29,39.81,41.84,37.64,32.83,3.96,16.62,21.09,20.73,11.29,-0.37,4.4,4.35,3.41,3.03,2.59,3.25
2012,HOCKLEY,,,,26.61,27.8,26.21,24.47,19.2,17.51,1.33,1.63,0.78,1.35,1.91,0.24,6.13,9.84,10.68,9.87,8.35,5.68,38.26,41.99,42.37,40.88,46.71,47.07,22.79,27.82,28.49,27.95,23.12,15.92,3.5,11.34,13.12,11.63,8.98,2.94,38.66,41.53,39.01,41.75,39.53,32.54,8.22,15.7,18.0,15.55,9.89,-1.34,3.6,3.85,3.15,2.7,2.72,3.03
2013,HOCKLEY,,,,27.26,28.08,25.39,25.54,20.29,16.89,0.51,2.66,3.17,1.34,0.61,0.8,5.87,10.71,11.28,11.15,9.54,5.49,35.78,46.99,50.97,46.83,48.19,46.32,21.56,27.13,26.04,27.44,23.95,16.17,2.51,12.73,13.75,13.81,10.84,2.47,38.53,41.86,37.6,40.17,36.42,34.79,0.07,13.98,14.68,17.86,8.85,0.41,3.83,3.99,3.26,2.82,3.03,3.09
2014,HOCKLEY,,,,27.26,27.81,25.46,23.79,16.01,17.25,2.89,2.69,1.95,0.89,5.88,0.27,5.96,11.35,11.73,10.62,12.17,6.9,36.22,52.16,51.71,44.46,72.47,52.58,21.37,26.25,26.54,27.42,21.12,17.23,1.75,13.75,14.57,13.01,15.04,6.28,37.64,41.2,38.65,39.42,39.62,31.81,4.37,10.84,16.48,16.93,7.84,5.61,3.66,4.07,3.25,2.68,2.88,2.67
2015,HOCKLEY,,,,23.75,26.98,26.65,24.32,20.93,14.52,6.65,2.26,2.58,0.92,0.92,4.1,8.75,12.28,12.78,11.75,10.82,8.2,59.39,58.33,53.06,48.67,52.12,62.74,19.16,25.17,27.42,27.46,24.98,16.8,9.47,15.31,15.95,14.61,13.32,8.7,31.76,37.39,39.1,39.76,36.93,32.98,6.49,14.49,15.51,13.42,14.77,3.91,3.79,3.2,2.83,2.77,3.04,3.0
2016,HOCKLEY,,,,25.3,28.04,27.76,22.53,19.91,17.1,2.53,1.8,0.49,3.85,2.37,0.52,7.23,11.33,10.78,12.13,12.14,7.53,48.33,52.15,38.55,56.52,65.86,52.02,20.21,26.16,30.57,25.77,22.24,19.18,6.14,13.88,13.19,14.93,14.66,7.45,34.51,39.37,42.86,37.98,33.5,33.87,4.38,13.99,21.05,15.82,10.15,6.0,3.86,3.33,3.48,2.83,2.9,2.96
2017,HOCKLEY,,,,28.53,27.8,27.51,23.96,18.81,16.89,0.46,2.09,3.08,2.84,2.65,0.7,6.04,10.53,12.05,12.88,9.54,7.25,38.22,48.41,49.44,61.77,52.99,53.31,21.18,26.73,27.7,24.68,23.02,16.24,3.89,12.56,15.03,15.97,11.13,5.46,37.57,43.19,37.46,34.75,37.93,32.22,5.77,14.27,19.07,14.76,12.06,0.43,4.22,3.17,2.93,2.27,3.05,3.38
2018,HOCKLEY,,,,27.32,27.92,25.15,24.52,19.31,13.63,0.74,1.36,1.14,2.0,3.03,4.2,7.04,10.49,10.78,11.55,11.45,8.36,35.48,41.42,42.41,48.49,64.44,68.72,25.5,28.79,28.58,27.43,22.01,15.05,5.58,12.42,13.22,14.33,13.89,8.61,40.59,41.84,41.2,38.12,34.66,33.61,9.94,17.29,18.99,17.35,8.76,-1.19,3.98,4.05,2.98,2.97,2.83,3.09
2019,HOCKLEY,,,,25.26,29.06,28.17,24.92,20.1,16.94,2.28,1.53,1.29,0.85,2.86,0.84,8.24,10.03,10.87,11.64,12.1,5.86,52.94,48.55,43.55,43.03,56.27,48.88,20.18,25.42,28.36,29.92,25.44,14.28,8.07,11.59,13.24,14.32,14.98,2.23,33.59,39.73,41.22,42.89,35.61,30.55,3.46,13.46,17.09,19.59,17.28,-6.59,3.95,3.58,3.13,3.19,3.13,3.21
2020,HOCKLEY,,,,27.7,29.73,27.01,24.89,20.15,17.44,0.83,0.99,0.96,0.61,0.38,0.25,6.63,9.03,10.68,9.71,8.27,4.58,37.72,39.12,38.84,36.75,48.11,40.11,23.24,27.26,30.39,29.5,22.23,16.44,5.15,9.8,12.85,11.63,8.4,0.05,39.72,39.6,43.94,42.34,38.66,36.02,7.34,10.86,19.13,19.11,7.21,-4.3,3.72,4.4,3.21,3.15,2.68,3.46
2021,HOCKLEY,,,,24.39,27.87,26.14,23.94,21.71,18.59,4.09,2.72,2.02,1.79,0.72,0.8,9.34,11.31,12.97,12.39,9.41,6.06,58.55,52.64,57.08,54.16,44.11,43.32,20.59,26.39,26.37,26.61,25.1,18.32,10.5,13.81,16.19,15.37,10.7,3.92,34.29,41.14,37.21,39.76,37.51,35.23,7.63,13.23,16.81,15.66,10.69,5.7,4.35,3.29,2.53,2.91,3.04,3.13
2022,HOCKLEY,,,,27.78,27.66,26.89,20.83,21.98,14.77,1.86,0.9,0.37,3.39,0.48,2.1,5.83,9.52,9.56,11.76,10.01,6.94,31.73,39.86,32.24,50.42,49.88,56.25,24.27,28.29,31.34,27.4,24.39,16.37,2.17,11.09,11.39,14.53,11.81,6.26,39.82,42.35,42.73,41.44,35.54,30.93,7.31,15.5,21.59,17.49,13.98,2.86,4.1,4.0,3.24,2.68,2.79,2.66
2023,HOCKLEY,,,,25.07,27.39,27.69,25.57,20.74,17.02,4.08,2.1,1.12,0.59,2.09,2.9,8.82,9.16,10.5,9.61,9.66,7.27,52.41,43.66,38.66,34.69,46.09,53.07,21.72,26.71,30.08,30.24,25.83,17.12,9.05,9.99,12.65,11.42,11.38,6.03,35.51,42.41,42.94,41.72,41.06,31.48,8.5,14.37,19.3,17.84,14.71,-1.94,3.43,3.04,3.18,2.79,2.59,2.86
2024,HOCKLEY,,,,26.46,27.45,26.09,25.05,20.37,17.34,2.09,2.22,1.55,0.7,2.09,0.02,7.27,12.1,11.42,10.09,10.24,6.18,41.08,48.33,45.56,36.93,54.2,39.87,23.4,28.49,28.35,30.22,23.47,20.69,5.61,14.81,14.17,12.22,12.12,4.45,37.82,40.85,40.42,42.44,37.3,35.83,10.64,17.78,17.67,18.73,11.47,4.82,3.89,3.95,2.95,2.94,2.71,3.29
2000,DALLAS,,,,22.02,19.29,25.28,24.96,19.76,12.38,2.77,5.99,0.18,0.01,0.79,3.82,12.87,15.48,12.95,11.21,9.61,9.9,68.39,76.8,49.46,36.97,44.83,65.69,24.35,25.39,30.86,33.22,27.07,20.05,17.24,20.55,17.69,15.46,12.1,12.4,37.39,34.39,42.2,43.1,44.96,35.62,9.99,13.13,20.4,22.39,8.7,3.91,3.97,3.1,2.91,2.9,2.82,3.33
2001,DALLAS,,,,22.41,24.83,25.87,20.97,18.64,15.9,3.67,2.14,0.68,3.1,2.99,2.26,13.63,14.53,15.32,14.86,13.3,8.66,78.36,69.71,56.6,59.52,73.21,67.74,22.67,26.22,31.14,29.81,23.29,17.62,18.33,19.52,20.52,19.93,17.59,10.71,31.67,34.89,40.83,41.19,32.75,31.78,9.54,15.19,20.4,21.48,10.15,4.99,3.11,3.08,2.94,2.4,2.42,3.36
2002,DALLAS,,,,21.04,23.66,22.82,21.8,18.96,10.31,3.86,2.39,2.58,1.55,1.49,5.74,12.4,14.31,16.04,14.52,12.04,9.37,75.58,66.74,68.1,57.98,58.2,73.83,21.61,26.84,28.61,29.77,26.26,17.72,16.74,19.29,21.28,19.54,16.27,12.18,33.37,35.57,39.56,39.24,37.67,35.2,8.49,17.33,21.42,19.38,12.35,5.89,3.32,2.51,2.37,2.67,2.48,2.55
2003,DALLAS,,,,19.11,22.28,25.27,20.91,17.96,15.18,2.69,3.54,0.55,2.07,3.22,0.98,12.61,14.59,13.93,14.1,12.14,9.62,66.67,69.34,52.93,53.46,68.36,64.96,24.61,26.41,31.06,30.94,23.42,20.31,16.99,19.54,18.88,19.13,16.39,12.55,39.21,37.23,42.14,43.27,34.07,33.05,14.02,17.19,21.73,21.19,13.09,5.23,3.03,2.53,2.73,2.29,2.34,2.56
2004,DALLAS,,,,20.8,19.76,24.28,22.15,20.26,12.6,1.63,7.66,3.76,2.58,1.03,4.43,13.1,16.62,15.72,14.32,11.96,11.92,73.86,82.1,69.97,67.06,60.54,74.86,23.17,25.4,27.59,26.62,25.41,21.24,17.67,21.86,20.83,19.21,16.22,15.95,35.43,35.82,38.63,36.64,36.48,32.31,6.9,18.32,19.27,15.77,13.26,9.69,3.8,2.49,2.58,2.29,2.26,2.85
2005,DALLAS,,,,20.48,25.05,22.75,21.86,19.81,15.64,2.51,0.43,1.96,1.93,0.74,1.01,11.58,12.98,14.23,15.04,12.04,8.08,67.72,53.48,57.16,59.25,50.27,53.71,22.88,29.4,29.71,30.11,29.0,20.01,15.65,17.64,19.2,20.07,16.33,9.29,38.86,40.45,40.98,40.71,40.4,34.51,6.55,18.52,20.38,21.78,16.56,3.15,2.8,2.59,2.17,2.12,2.82,2.76
2006,DALLAS,,,,23.96,26.2,24.04,23.72,18.94,15.86,1.49,0.91,0.6,1.31,1.97,2.75,11.79,11.79,13.66,13.96,11.1,8.51,64.2,50.13,50.79,48.95,58.69,62.51,24.17,28.94,31.17,32.16,24.5,18.84,15.87,15.95,18.57,18.91,14.75,10.42,37.36,39.65,42.5,41.59,36.87,34.91,10.54,17.33,17.95,19.16,11.51,3.9,3.31,2.77,3.2,2.83,2.74,3.04
2007,DALLAS,,,,17.93,19.79,20.03,22.75,18.55,16.14,6.12,8.95,3.8,1.3,3.28,2.61,13.74,16.92,17.41,17.89,14.77,10.33,81.94,84.22,83.21,76.31,76.26,69.57,22.15,25.15,25.91,28.03,24.74,19.64,18.64,22.1,22.62,23.08,19.83,13.21,30.15,31.77,32.47,36.13,32.59,33.21,11.62,17.8,20.54,21.39,15.93,5.51,2.69,2.72,1.98,2.39,2.23,2.89
2008,DALLAS,,,,21.55,24.87,26.1,20.72,18.66,16.46,2.75,1.87,0.71,3.72,1.65,1.19,12.46,14.47,13.38,15.48,12.31,8.44,71.04,61.04,49.83,65.24,67.75,62.26,22.67,28.79,31.1,28.83,23.97,18.8,16.53,19.51,18.23,20.62,16.7,10.24,34.66,37.91,41.61,42.35,34.91,32.9,7.46,20.08,19.6,20.65,11.22,2.2,3.4,3.86,2.88,2.37,2.53,2.88
2009,DALLAS,,,,20.35,25.52,23.44,23.39,15.36,10.91,3.84,2.56,3.08,1.56,6.0,8.81,12.65,14.5,14.1,14.72,13.3,9.82,76.62,63.0,55.71,61.05,73.78,81.02,21.92,28.16,30.3,29.1,23.63,16.24,17.13,19.44,19.01,19.76,18.01,12.64,33.48,40.94,42.65,39.2,37.18,30.42,9.95,14.65,19.56,17.74,11.78,4.03,2.72,2.97,2.48,2.78,2.62,3.29
2010,DALLAS,,,,22.05,23.61,22.89,23.69,18.15,17.77,1.76,1.97,2.98,0.83,6.73,1.39,12.85,15.52,16.6,14.43,14.96,7.76,71.53,63.27,67.83,49.48,73.09,58.0,23.3,29.35,29.19,32.3,25.36,18.78,17.31,20.66,21.8,19.34,19.6,9.23,35.34,39.4,39.38,43.07,35.19,30.72,9.77,20.28,22.16,19.04,10.35,4.43,2.77,2.98,2.59,2.48,2.62,2.49
2011,DALLAS,,,,21.95,27.53,26.21,23.82,21.68,16.88,4.15,1.52,0.03,0.58,1.0,3.28,11.42,13.12,12.73,12.39,8.41,8.21,65.96,49.9,38.8,37.23,41.05,59.49,22.52,30.88,34.41,34.87,26.47,19.12,15.0,17.82,17.51,16.98,10.31,9.83,37.6,42.19,43.62,44.86,42.3,32.75,5.64,20.6,24.92,23.95,12.24,4.64,4.08,3.69,2.77,2.59,2.76,2.81
2012,DALLAS,,,,23.24,25.35,25.02,22.27,19.2,13.98,2.33,2.31,1.04,2.57,2.14,1.07,12.57,14.22,14.08,13.39,11.12,9.21,67.18,62.95,53.49,52.9,55.16,65.27,24.41,27.91,30.98,30.26,26.34,18.61,17.14,19.15,19.07,18.08,15.01,11.15,35.75,42.16,43.01,43.75,41.56,32.0,13.99,14.3,21.92,17.39,13.14,2.37,3.11,2.73,2.75,2.44,2.61,3.24
2013,DALLAS,,,,20.57,25.58,22.9,23.59,18.73,13.72,3.27,2.25,2.03,0.57,2.62,3.09,11.82,13.86,13.79,13.52,12.25,10.29,69.17,61.06,57.66,49.73,53.91,72.72,22.06,28.0,28.94,31.24,27.93,19.07,15.25,18.75,18.55,18.45,16.7,13.26,34.12,41.07,40.41,41.68,41.24,33.56,3.97,15.04,18.52,18.6,12.82,3.49,3.62,2.86,2.62,2.44,2.31,2.93
