Year,County,Soil_pH,Soil_Clay_Pct,Soil_Organic_Carbon,M3_ALLSKY_SFC_SW_DWN,M4_ALLSKY_SFC_SW_DWN,M5_ALLSKY_SFC_SW_DWN,M6_ALLSKY_SFC_SW_DWN,M7_ALLSKY_SFC_SW_DWN,M8_ALLSKY_SFC_SW_DWN,M3_PRECTOTCORR,M4_PRECTOTCORR,M5_PRECTOTCORR,M6_PRECTOTCORR,M7_PRECTOTCORR,M8_PRECTOTCORR,M3_QV2M,M4_QV2M,M5_QV2M,M6_QV2M,M7_QV2M,M8_QV2M,M3_RH2M,M4_RH2M,M5_RH2M,M6_RH2M,M7_RH2M,M8_RH2M,M3_T2M,M4_T2M,M5_T2M,M6_T2M,M7_T2M,M8_T2M,M3_T2MDEW,M4_T2MDEW,M5_T2MDEW,M6_T2MDEW,M7_T2MDEW,M8_T2MDEW,M3_T2M_MAX,M4_T2M_MAX,M5_T2M_MAX,M6_T2M_MAX,M7_T2M_MAX,M8_T2M_MAX,M3_T2M_MIN,M4_T2M_MIN,M5_T2M_MIN,M6_T2M_MIN,M7_T2M_MIN,M8_T2M_MIN,M3_WS2M,M4_WS2M,M5_WS2M,M6_WS2M,M7_WS2M,M8_WS2M
2000,ARMSTRONG,,,,17.61,21.96,27.21,22.08,26.34,25.34,3.04,1.15,1.02,5.97,0.81,0.14,4.77,5.24,6.78,12.21,11.0,8.83,57.5,47.29,39.88,65.06,44.47,32.7,10.61,15.45,22.96,23.26,28.49,29.84,0.85,2.24,5.63,15.29,13.75,10.49,27.18,33.72,41.53,37.45,40.81,40.44,-3.37,-1.2,6.78,13.0,17.58,18.33,4.08,4.08,4.15,3.64,3.21,3.64
2001,ARMSTRONG,,,,15.72,23.5,25.22,29.18,27.76,22.78,2.22,0.48,4.49,0.96,0.36,2.7,4.54,5.34,9.39,9.81,10.4,11.75,65.38,42.12,59.4,44.39,36.45,52.51,7.87,17.21,20.51,26.72,31.05,26.94,0.72,2.44,10.8,11.71,12.9,14.68,27.41,32.89,34.66,40.87,42.35,38.62,-4.13,2.4,5.5,12.5,19.59,17.18,3.14,4.4,3.35,3.74,3.58,2.8
2002,ARMSTRONG,,,,19.61,21.0,25.6,26.29,24.92,23.18,0.54,1.2,1.32,1.77,1.94,2.84,2.92,5.89,6.98,11.18,12.65,12.06,41.29,48.67,44.32,50.14,56.02,50.99,8.33,16.86,21.13,26.61,26.95,27.47,-5.81,3.42,5.84,14.0,16.01,15.24,29.83,34.01,36.41,38.24,40.35,38.8,-10.42,-2.63,3.07,12.61,18.06,15.41,4.18,4.26,4.33,4.12,3.29,3.43
2003,ARMSTRONG,,,,19.6,25.19,25.8,25.02,28.06,22.82,0.6,0.47,1.01,5.38,0.15,1.82,4.04,4.62,7.23,11.53,10.22,10.86,50.04,39.51,44.93,62.26,40.1,44.08,10.65,16.51,21.42,22.92,29.2,28.53,-1.3,0.26,6.28,14.23,12.66,13.61,27.68,33.28,39.74,36.69,41.47,42.15,-8.71,-1.38,7.53,9.5,18.41,14.61,3.63,4.38,3.91,3.16,3.52,3.15
2004,ARMSTRONG,,,,17.81,20.37,28.09,25.6,25.69,22.85,1.76,2.27,0.18,4.94,2.06,1.99,5.19,6.08,6.91,11.8,12.12,11.75,57.67,57.03,40.52,62.2,55.29,58.99,11.91,14.52,22.69,23.9,26.25,24.44,2.17,4.47,5.92,14.33,15.31,14.75,30.66,29.83,38.72,39.91,39.0,37.39,-1.55,-4.22,4.14,13.1,14.57,13.78,3.55,3.76,4.24,3.48,2.9,3.02
2005,ARMSTRONG,,,,19.11,24.18,21.58,27.89,27.3,22.48,1.4,0.92,2.24,2.56,1.36,3.37,4.28,5.19,8.86,10.93,11.77,12.92,60.17,49.75,59.9,51.55,50.17,60.24,8.37,14.08,19.6,25.67,27.41,25.66,-0.08,2.23,10.13,13.44,14.76,16.25,27.62,30.41,37.63,38.44,40.03,37.3,-5.66,0.49,1.36,11.45,15.11,16.03,3.83,4.26,3.2,3.93,3.27,2.69
2006,ARMSTRONG,,,,16.88,23.74,25.55,27.76,25.59,22.64,1.32,0.38,1.6,1.09,1.17,4.65,3.86,5.12,7.32,9.02,10.57,13.51,47.59,37.79,43.34,39.52,39.48,60.15,10.67,18.45,22.77,27.48,29.74,26.38,-2.19,1.31,7.06,10.58,13.16,17.01,28.63,35.01,39.68,40.41,41.56,38.67,-6.03,2.09,5.65,15.23,17.76,13.37,4.15,4.22,3.28,3.6,3.11,2.65
2007,ARMSTRONG,,,,17.76,21.23,22.3,26.26,25.92,23.39,4.1,1.31,3.3,2.33,1.37,1.57,5.99,5.73,9.64,12.24,12.89,13.47,61.2,61.49,68.42,65.96,59.37,57.44,11.81,11.78,18.52,22.87,25.9,27.28,3.15,3.44,11.67,15.19,16.35,16.93,28.92,27.79,31.06,34.96,35.46,38.49,-4.38,-4.11,7.73,8.78,17.04,18.35,3.38,3.88,3.2,3.05,2.75,3.52
2008,ARMSTRONG,,,,19.65,25.19,26.53,28.35,25.66,21.91,0.15,0.71,2.09,2.5,1.85,3.31,3.52,3.77,6.93,9.74,12.0,12.31,45.03,38.26,43.62,43.08,51.53,58.74,10.18,14.8,21.01,27.41,27.05,25.51,-3.11,-2.52,5.62,11.22,15.14,15.59,28.37,34.32,38.23,41.17,38.19,38.94,-5.9,0.92,3.24,14.63,17.75,15.19,4.21,4.45,4.13,4.06,3.39,2.76
2009,ARMSTRONG,,,,18.76,23.62,23.18,25.03,26.37,25.6,0.5,2.21,1.09,3.12,2.96,2.79,3.83,5.01,7.66,10.7,11.49,11.7,43.86,46.03,53.17,50.63,49.72,52.17,11.39,14.71,19.6,25.66,27.5,26.58,-2.46,1.02,7.97,12.93,14.36,14.73,29.64,32.83,36.54,38.36,42.17,39.81,-5.19,-2.49,7.14,12.4,15.86,14.02,4.08,4.46,3.4,3.27,2.96,3.1
2010,ARMSTRONG,,,,19.07,20.98,25.21,27.11,24.23,24.76,1.26,3.55,2.01,1.87,3.66,1.58,3.92,5.81,8.19,12.38,14.66,11.99,54.57,51.77,53.36,51.84,65.67,48.56,8.91,15.18,19.78,27.67,26.16,27.94,-1.49,3.05,7.82,15.59,18.31,14.82,31.34,31.74,34.75,40.32,37.11,39.85,-5.47,0.33,4.92,16.14,17.43,13.05,4.18,4.5,3.92,3.92,3.18,3.04
2011,ARMSTRONG,,,,19.78,26.12,29.31,29.72,26.25,24.77,0.12,0.03,0.28,0.37,0.6,0.59,3.99,3.72,4.07,6.88,10.04,9.63,45.87,30.57,25.81,26.33,32.56,32.36,11.77,17.51,21.84,30.22,31.97,31.7,-1.51,-2.55,-1.55,5.88,12.39,11.65,31.95,35.69,40.29,45.54,42.61,42.4,-2.92,2.46,3.11,16.92,22.22,21.25,3.74,4.51,4.27,4.41,3.3,2.97
2012,ARMSTRONG,,,,19.94,24.57,25.69,26.79,26.14,24.04,1.12,1.27,1.34,2.19,0.77,1.5,4.55,6.04,6.66,10.81,10.45,9.94,44.95,44.96,41.12,48.55,39.41,43.32,13.92,18.63,22.56,27.17,29.7,27.48,-0.37,3.94,5.34,13.16,13.0,11.92,31.99,38.73,39.51,42.12,41.33,42.9,-3.6,4.23,8.28,14.13,18.42,15.17,3.75,3.89,3.56,3.69,3.35,2.81
2013,ARMSTRONG,,,,20.84,23.68,26.17,27.85,24.96,24.73,0.39,0.12,0.92,2.75,2.5,1.83,3.57,4.2,6.54,10.81,11.28,11.89,44.69,43.04,41.42,48.09,50.86,51.45,10.0,13.85,20.93,26.75,26.42,27.32,-2.97,-1.09,4.58,13.25,13.91,15.02,29.84,35.84,38.9,41.6,39.5,40.9,-5.31,-3.86,-0.19,12.2,15.53,17.54,3.78,4.1,4.01,3.82,3.4,3.0
2014,ARMSTRONG,,,,20.59,24.0,26.03,27.13,24.92,23.74,0.18,0.28,2.63,4.03,2.78,1.41,2.93,4.08,6.25,12.14,12.18,11.31,40.74,37.67,39.39,57.77,56.33,47.79,9.32,15.34,21.31,25.46,25.92,27.56,-5.24,-1.49,2.76,15.14,15.39,14.19,28.46,33.85,38.15,38.95,39.46,39.41,-9.84,-1.74,3.16,10.89,15.14,16.69,4.42,4.47,3.67,4.09,3.28,2.97
2015,ARMSTRONG,,,,18.33,22.76,21.68,26.79,26.26,23.48,0.21,3.14,8.77,2.41,4.65,2.4,4.46,5.46,9.59,13.32,14.52,12.99,55.56,47.01,69.59,65.65,63.97,59.29,10.69,16.22,17.81,24.55,26.33,25.74,0.3,2.66,11.25,16.85,18.18,16.33,30.65,31.71,30.24,35.5,37.3,37.98,-8.42,3.21,4.32,14.23,12.86,12.42,2.95,3.95,3.62,3.25,2.92,2.78
2016,ARMSTRONG,,,,20.73,22.76,25.05,26.99,27.1,22.36,0.15,2.25,2.98,2.16,1.76,3.37,4.26,5.76,8.06,12.3,12.25,12.59,46.91,51.01,56.35,56.69,46.03,58.17,12.02,15.51,19.04,26.14,30.0,25.92,-0.65,3.48,8.25,15.4,15.35,15.8,28.48,31.28,33.63,39.89,42.98,39.5,-3.86,1.3,3.5,14.37,20.07,16.34,4.28,3.81,3.75,3.33,3.44,2.81
2017,ARMSTRONG,,,,19.67,21.97,27.39,26.53,27.14,22.62,1.76,1.59,1.05,2.32,2.09,4.52,4.95,6.14,6.7,10.85,12.46,13.28,51.64,55.33,45.54,51.41,50.15,66.43,12.89,15.07,19.84,26.06,28.44,24.16,1.29,4.32,5.77,13.38,15.73,16.66,33.46,33.0,37.41,42.99,38.73,35.45,-2.8,1.38,2.44,14.77,17.01,14.21,4.25,4.41,3.86,3.38,2.88,2.39
2018,ARMSTRONG,,,,20.06,24.51,26.49,27.52,24.91,23.56,0.22,0.49,1.25,2.68,1.35,2.28,3.84,4.06,8.49,11.61,11.62,12.02,43.14,40.82,43.44,47.71,47.39,51.54,11.88,13.9,24.93,28.16,28.41,27.26,-2.06,-1.48,8.92,14.26,14.55,15.11,32.82,34.98,38.89,42.21,42.83,38.56,-3.1,-4.76,8.96,14.7,15.15,15.39,4.03,4.62,3.95,3.98,2.86,3.09
2019,ARMSTRONG,,,,17.7,21.78,22.55,27.66,27.09,24.59,1.43,1.7,3.47,3.0,1.11,1.63,4.38,5.84,8.98,11.35,11.8,12.56,56.93,50.75,61.67,58.27,48.25,48.74,8.52,15.86,19.15,24.28,28.27,29.37,-0.72,3.79,9.83,13.98,14.7,15.79,28.33,32.96,34.03,38.81,40.66,41.51,-9.35,-0.17,5.07,11.96,16.77,18.42,3.78,3.93,3.55,3.29,3.35,3.16
2020,ARMSTRONG,,,,17.34,23.63,26.46,28.94,26.35,24.59,1.63,0.21,1.06,1.68,1.89,1.45,5.22,5.17,7.83,10.15,12.21,11.0,57.15,47.64,47.45,44.95,46.87,45.59,11.96,14.91,21.81,26.95,29.7,28.25,2.21,2.02,7.88,11.91,15.2,13.72,31.81,33.37,37.57,40.1,44.07,42.2,-1.27,-2.25,5.25,11.68,17.55,17.95,3.78,4.05,3.7,4.35,3.12,3.26
2021,ARMSTRONG,,,,19.47,22.97,22.72,26.84,25.72,23.64,1.46,0.31,4.11,3.08,3.09,1.6,4.05,4.52,9.39,12.16,13.74,12.47,47.93,44.54,63.11,57.76,61.12,53.3,10.79,14.32,19.46,26.03,26.43,27.2,-1.62,0.01,10.77,15.09,17.32,15.73,28.39,33.38,36.11,40.84,38.35,40.34,-3.45,-0.92,6.36,12.13,16.91,15.38,4.24,4.11,4.21,3.32,2.67,3.06
2022,ARMSTRONG,,,,20.81,25.68,27.26,26.33,26.17,21.57,0.86,0.1,2.39,1.91,2.57,2.68,2.96,3.83,6.66,10.41,10.87,12.12,38.84,30.93,40.64,47.23,38.15,53.13,9.97,17.09,22.55,27.27,31.11,27.0,-5.47,-3.18,4.85,12.73,13.49,15.29,31.86,36.31,40.18,43.15,44.63,39.38,-6.76,1.66,4.32,12.49,21.34,16.83,4.03,4.49,4.15,3.89,3.02,2.56
2023,ARMSTRONG,,,,19.66,23.66,24.44,25.68,27.4,25.13,0.21,1.17,5.97,3.75,2.1,0.75,3.57,4.18,9.6,11.76,12.43,10.35,44.56,38.91,62.09,61.57,49.96,39.54,10.1,15.26,20.35,24.29,28.78,29.57,-3.04,-1.45,10.86,14.53,15.52,12.81,26.73,33.2,36.23,41.24,41.86,42.26,-6.42,0.06,9.01,12.22,18.89,17.07,3.97,3.93,3.24,2.87,3.12,2.94
2024,ARMSTRONG,,,,18.31,23.63,25.26,26.28,26.01,24.86,0.39,2.05,3.31,2.59,1.42,1.49,4.2,4.99,8.28,13.65,11.47,10.8,48.32,42.15,50.47,58.52,46.97,40.7,11.75,16.35,21.93,27.27,28.24,30.1,-0.57,1.48,8.16,17.16,14.47,13.48,27.83,33.63,37.79,41.17,41.25,42.96,-3.2,2.45,10.57,16.47,16.15,17.79,3.84,4.24,3.71,3.84,3.26,2.95
2025,ARMSTRONG,,,,20.0,20.99,25.37,25.54,24.8,22.66,0.8,3.65,3.03,3.37,2.51,2.02,4.15,6.58,7.91,13.37,13.76,12.62,44.21,53.19,55.34,62.28,58.06,54.76,12.51,16.3,19.53,25.64,27.53,27.34,-1.02,4.71,8.32,16.79,17.31,15.93,29.61,34.78,36.08,39.37,39.73,40.68,-1.14,-1.25,5.66,10.59,18.82,16.52,4.37,4.1,3.29,3.45,2.84,3.04
2000,TOM GREEN,,,,19.84,22.87,26.31,20.87,26.4,25.04,1.31,0.63,0.77,3.85,0.38,0.02,5.95,6.57,9.76,13.73,10.39,10.47,49.58,43.91,45.63,63.26,36.65,38.09,16.49,20.66,27.06,26.29,31.3,30.74,3.51,5.4,11.67,17.75,13.41,13.48,32.17,36.67,43.82,36.8,41.65,39.97,-0.36,2.41,10.93,15.42,21.41,22.04,4.13,4.05,4.47,3.68,3.53,3.56
2001,TOM GREEN,,,,15.59,20.8,24.88,27.91,27.54,22.4,1.03,0.72,2.01,0.29,0.38,2.9,5.61,8.49,10.36,11.42,11.56,13.09,64.09,56.5,55.26,46.06,40.94,54.24,11.81,20.08,24.48,29.15,31.29,28.52,4.06,9.34,12.92,14.79,15.08,16.97,30.27,34.08,39.35,40.56,41.77,39.79,-0.42,6.56,9.85,19.47,19.01,19.26,3.07,4.1,3.87,4.03,3.65,2.87
2002,TOM GREEN,,,,19.14,19.62,23.97,24.99,22.65,24.91,1.29,0.67,0.94,1.51,2.77,0.66,4.93,9.0,9.5,12.42,14.6,12.98,50.73,56.79,48.0,52.39,65.73,50.77,12.59,21.32,24.84,27.98,26.85,29.5,0.75,10.51,11.25,16.13,18.8,16.87,32.26,39.46,39.39,38.32,39.37,41.78,-7.44,3.47,10.96,17.78,19.15,19.91,3.89,4.03,4.36,3.54,3.24,3.52
2003,TOM GREEN,,,,19.38,24.12,23.26,25.07,25.7,22.01,1.05,0.34,1.58,3.93,0.71,1.86,6.01,6.46,9.47,13.93,13.04,13.01,57.83,43.12,47.5,65.15,53.63,52.63,14.37,20.4,25.81,25.96,28.77,29.01,4.45,4.86,10.93,17.96,17.0,16.94,31.99,35.61,42.46,36.87,39.41,41.81,-0.1,3.2,13.19,14.31,20.3,18.44,3.54,4.08,3.43,3.14,3.33,3.02
2004,TOM GREEN,,,,16.99,20.43,24.12,23.88,24.96,21.5,1.66,2.09,0.41,3.6,1.83,3.99,7.76,8.4,10.51,13.51,13.27,14.19,64.23,62.71,55.64,60.98,57.4,66.1,16.32,18.39,24.29,26.97,27.79,25.89,8.27,9.61,12.9,17.43,17.2,18.28,31.13,32.88,38.13,40.76,39.85,37.34,2.6,0.95,7.08,17.73,17.86,17.4,3.85,3.85,4.24,3.73,3.46,2.8
2005,TOM GREEN,,,,19.65,25.09,21.08,26.23,24.46,22.66,1.4,0.1,3.38,1.36,2.69,4.4,5.56,6.58,11.21,13.0,13.77,14.61,60.05,50.81,64.99,56.92,56.18,66.23,12.79,17.98,22.4,27.36,28.58,26.36,3.93,5.89,14.4,16.73,17.91,18.83,26.79,33.27,37.75,38.8,41.41,36.09,-0.96,2.99,8.04,17.83,19.1,17.79,3.57,3.92,3.41,3.69,2.9,2.59
2006,TOM GREEN,,,,17.9,22.88,26.31,27.87,26.38,22.29,1.31,0.89,0.94,1.35,0.74,2.39,6.15,7.39,9.52,10.75,12.25,13.52,52.42,46.75,46.96,45.4,48.31,53.31,15.74,21.32,25.66,28.49,29.45,29.07,3.97,7.06,11.26,13.75,15.97,17.58,33.77,37.6,39.6,40.23,40.13,39.97,-1.73,7.3,10.57,16.88,18.56,17.09,3.86,3.86,4.13,3.3,3.46,3.08
2007,TOM GREEN,,,,17.57,22.05,19.21,23.11,22.18,23.15,3.67,1.73,4.49,3.61,1.92,4.65,7.76,7.65,12.14,14.4,14.78,15.53,62.5,61.68,73.7,69.3,70.75,69.75,15.93,16.79,21.38,25.4,25.52,26.66,7.35,7.92,15.81,18.53,19.06,19.83,29.66,30.68,33.9,36.84,35.52,36.44,-3.75,-1.47,11.1,17.78,18.68,20.05,3.7,3.99,3.07,3.09,2.54,3.44
2008,TOM GREEN,,,,18.62,25.25,25.17,26.99,25.02,20.89,2.62,0.94,1.24,2.45,0.82,3.64,5.75,6.35,8.98,12.13,12.68,13.97,56.08,45.89,46.26,48.8,52.68,62.99,13.86,18.96,24.78,29.07,28.48,26.77,3.31,4.58,9.93,15.78,16.52,18.02,31.25,35.98,39.45,39.88,41.1,38.43,-2.55,4.32,6.96,19.7,18.5,18.08,4.19,4.08,4.0,4.38,3.68,2.58
2009,TOM GREEN,,,,18.89,22.26,23.29,24.65,24.22,24.78,1.2,2.43,1.78,2.29,3.54,1.09,5.43,6.69,10.73,12.71,13.16,12.43,49.85,46.29,57.62,52.93,53.2,49.76,14.93,18.72,23.87,28.32,28.85,28.77,2.27,4.6,13.56,16.45,17.06,16.18,31.12,34.87,40.74,41.6,40.31,38.51,-3.84,2.3,10.8,14.67,18.84,18.15,4.09,4.48,3.2,3.47,2.94,3.1
2010,TOM GREEN,,,,19.46,21.36,22.78,25.6,22.73,24.88,1.01,2.32,1.39,2.36,3.37,0.97,5.01,8.08,10.75,13.95,15.55,13.21,57.53,60.9,57.37,57.54,69.3,50.32,11.89,17.98,23.74,28.43,26.7,29.61,2.09,8.62,13.0,18.01,19.83,17.15,31.9,32.38,38.41,40.4,38.34,39.44,-3.1,2.29,7.99,18.97,20.48,18.7,4.08,4.09,3.71,3.97,3.24,3.12
2011,TOM GREEN,,,,19.64,26.31,26.35,29.28,26.99,24.88,0.14,0.27,0.66,0.61,0.11,1.89,5.41,5.67,7.6,10.35,11.27,12.19,43.19,33.03,39.44,38.38,38.0,43.6,17.28,22.75,24.77,30.78,31.88,31.28,2.37,2.38,7.06,13.07,14.65,15.7,32.98,37.77,42.47,42.21,41.01,42.15,-0.33,5.61,5.3,19.9,23.0,21.22,3.94,4.44,4.16,4.5,3.57,3.1
2012,TOM GREEN,,,,17.57,23.81,23.77,27.71,25.21,23.26,0.88,1.03,3.4,0.56,1.51,1.79,7.36,8.07,10.9,11.64,12.82,12.13,61.02,49.57,59.02,46.59,51.32,48.86,16.21,21.92,24.12,29.21,29.04,29.0,6.85,8.62,13.95,15.11,16.73,15.76,35.09,39.8,39.25,42.56,39.96,41.22,0.93,7.57,11.33,18.98,20.55,18.33,3.96,3.78,3.6,3.67,3.23,2.95
2013,TOM GREEN,,,,21.66,23.91,24.36,26.36,23.99,24.53,0.04,0.74,2.8,2.05,3.07,0.89,4.37,6.46,9.88,13.0,12.58,12.52,40.95,49.08,54.93,57.39,55.43,49.39,14.49,18.39,22.83,27.29,27.32,29.16,-0.63,5.06,11.17,16.87,16.14,16.39,33.5,35.27,38.69,40.73,39.18,39.87,-1.58,1.1,2.79,17.84,16.39,20.15,4.12,4.18,4.03,3.66,3.18,2.96
2014,TOM GREEN,,,,19.99,23.41,25.59,25.24,25.12,23.59,0.09,0.41,3.83,2.59,0.96,1.95,4.36,5.96,8.87,14.18,12.65,12.6,46.51,42.26,48.85,65.24,52.54,52.36,13.12,19.27,23.45,26.2,28.44,28.27,-0.03,3.61,8.98,18.27,16.5,16.4,31.88,34.25,39.31,36.79,39.0,39.64,-7.45,0.68,6.52,13.1,18.9,19.04,4.08,4.19,3.9,4.17,3.34,3.04
2015,TOM GREEN,,,,16.82,20.68,21.04,25.79,26.97,23.89,2.04,1.47,6.68,3.52,2.0,0.73,6.58,8.47,12.18,14.44,14.03,12.62,67.46,58.88,70.82,67.74,58.24,48.81,13.01,19.49,22.23,25.91,28.33,29.57,5.85,9.6,15.53,18.66,18.19,16.46,32.91,34.29,34.2,36.23,39.25,40.37,-5.99,6.24,11.07,16.77,18.57,18.64,2.82,3.64,3.83,3.21,3.55,3.08
2016,TOM GREEN,,,,19.66,21.93,22.53,25.93,27.86,21.86,1.97,3.63,5.34,3.89,0.16,2.71,6.65,8.15,11.75,14.46,13.55,14.17,59.06,60.34,68.94,69.84,50.84,62.75,15.37,18.54,21.84,25.25,30.03,27.2,5.96,8.97,14.74,18.64,17.61,18.31,31.0,32.64,35.41,36.92,39.21,39.07,0.26,2.19,7.41,15.65,21.12,16.75,4.0,3.48,3.52,3.05,3.89,3.24
2017,TOM GREEN,,,,20.02,22.89,23.66,26.83,25.68,21.5,0.58,1.89,1.76,1.98,2.36,3.76,7.49,8.59,9.13,13.44,13.79,14.52,59.52,59.39,52.57,58.59,56.71,65.17,17.1,19.37,22.79,27.64,28.42,26.48,7.72,9.76,10.59,17.43,17.92,18.64,32.87,34.83,39.02,42.48,39.33,37.47,1.62,5.04,9.61,17.47,20.63,15.52,4.08,4.13,3.79,3.31,2.86,2.8
2018,TOM GREEN,,,,19.53,23.49,25.73,28.01,25.87,23.49,0.78,0.23,2.33,1.24,1.07,2.66,5.91,5.98,11.36,13.15,11.8,13.29,50.88,45.21,54.62,49.25,44.85,55.98,16.07,18.56,26.07,30.17,30.32,28.05,3.88,4.04,14.54,17.08,15.32,17.25,32.35,37.11,40.59,42.06,43.15,38.1,0.47,2.79,12.75,21.35,20.87,19.25,3.68,4.1,3.95,4.13,3.17,3.07
2019,TOM GREEN,,,,17.67,22.68,21.0,26.3,27.1,24.81,0.72,3.13,3.63,2.29,0.62,1.07,6.13,8.1,12.06,14.05,13.02,13.36,63.84,59.43,69.84,65.18,52.15,47.04,12.14,18.66,21.97,26.25,28.74,31.24,4.53,8.95,15.27,18.07,16.8,17.34,31.01,36.42,35.41,40.45,39.16,41.73,-7.22,2.1,7.71,15.51,17.13,21.64,3.57,3.81,3.74,3.35,3.34,3.37
2020,TOM GREEN,,,,15.52,21.91,26.05,27.29,25.89,24.9,3.39,0.69,1.89,0.79,1.56,0.53,8.06,7.38,10.38,11.93,13.15,11.31,65.56,54.07,53.41,50.85,48.81,41.14,16.67,19.01,24.74,27.9,30.31,30.72,8.87,7.46,12.93,14.88,16.99,14.7,33.98,39.07,40.66,40.82,42.15,42.66,2.75,1.61,10.12,14.41,21.13,19.91,3.37,3.75,3.85,3.89,3.42,3.33
2021,TOM GREEN,,,,19.93,18.93,22.1,26.04,23.93,22.98,0.56,1.5,3.17,2.76,2.68,3.97,5.42,6.77,11.63,14.07,14.54,14.7,50.59,51.05,67.55,62.51,63.18,63.6,14.67,18.2,22.26,27.16,27.36,27.39,2.8,5.68,14.93,18.17,18.73,18.87,32.58,35.1,35.05,39.52,38.59,37.75,-0.96,2.77,10.08,15.6,19.89,17.22,4.2,3.96,3.74,3.28,2.7,3.04
2022,TOM GREEN,,,,21.85,23.21,25.8,27.93,26.79,21.68,0.24,0.33,0.95,1.3,0.43,2.61,3.75,7.04,9.88,11.2,11.59,13.53,36.35,43.73,45.45,43.38,38.67,53.86,14.48,21.44,27.27,30.15,32.35,29.17,-2.63,5.59,11.68,14.4,15.06,17.48,34.26,37.27,41.73,42.19,42.83,40.55,-3.94,4.17,11.86,19.45,22.62,20.55,4.06,4.26,4.19,3.68,3.31,2.83
2023,TOM GREEN,,,,18.2,23.39,22.81,26.39,27.19,25.31,0.56,0.44,3.64,1.34,1.01,0.42,5.96,5.99,11.86,11.62,12.04,10.89,51.01,43.79,65.48,47.31,42.72,35.86,15.76,19.43,23.54,29.88,31.54,32.5,3.81,3.86,15.17,14.72,15.52,14.03,32.18,36.01,38.48,44.95,43.06,43.83,1.89,6.62,11.23,17.12,19.94,19.98,4.0,3.7,2.93,3.23,3.3,3.16
2024,TOM GREEN,,,,18.06,22.43,22.8,26.16,25.61,24.45,0.73,1.09,3.29,0.79,1.55,0.87,6.12,7.39,11.5,13.8,13.42,11.85,55.47,47.54,56.28,52.99,52.91,41.48,15.6,20.9,25.84,29.9,29.49,31.69,4.92,6.71,14.16,17.71,17.41,15.41,32.44,36.52,40.72,42.24,40.56,44.32,1.64,6.26,12.78,19.71,19.05,21.43,3.45,3.86,3.35,3.83,3.23,3.15
2025,TOM GREEN,,,,21.46,21.07,23.64,27.12,23.35,23.28,0.22,2.7,2.62,2.13,4.61,1.1,4.78,8.58,9.68,14.21,15.05,13.05,37.86,54.79,50.94,59.7,66.99,50.11,17.51,20.68,24.49,28.1,26.76,29.7,0.31,9.31,11.46,18.35,19.2,17.05,34.45,37.54,39.15,37.87,38.39,39.61,1.88,0.76,9.61,17.2,19.44,20.66,4.06,4.08,3.23,4.04,3.15,2.84
2000,LIMESTONE,,,,16.26,19.71,21.28,20.94,25.75,24.75,2.63,3.08,4.0,5.39,0.18,0.16,8.76,9.27,14.15,15.7,12.55,12.19,72.78,67.37,73.31,74.07,45.91,42.68,16.6,19.24,24.83,26.52,31.72,32.57,10.92,11.94,19.02,20.91,17.27,16.77,30.4,34.49,36.62,36.05,42.7,43.32,1.84,3.52,11.85,14.34,21.82,23.57,3.13,3.18,3.49,2.91,2.7,2.72
2001,LIMESTONE,,,,13.64,17.75,22.19,24.43,25.71,21.0,3.97,0.73,3.35,3.27,0.52,4.09,6.8,11.95,13.94,15.2,15.26,14.41,80.96,80.12,78.39,72.96,58.31,56.55,11.21,19.99,23.18,26.24,30.76,30.5,7.73,16.15,18.85,20.38,20.52,19.48,23.94,29.47,32.11,35.31,40.91,41.64,2.2,7.13,10.51,17.02,20.04,21.46,2.67,3.44,2.87,2.81,2.75,2.69
2002,LIMESTONE,,,,14.62,17.05,22.0,23.38,22.81,21.64,2.22,1.58,2.62,2.82,3.17,0.75,7.88,12.12,12.02,14.24,16.67,15.12,75.23,76.61,64.53,63.55,72.3,59.93,13.14,21.1,24.31,27.85,28.18,30.01,8.35,16.42,16.16,19.23,21.99,20.25,27.91,35.35,36.71,37.14,38.42,40.29,-5.95,7.21,9.58,17.75,21.68,21.41,3.81,3.32,3.49,2.32,2.43,2.56
2003,LIMESTONE,,,,15.96,20.55,18.88,22.18,24.2,21.28,1.17,0.8,1.64,3.97,1.61,1.94,7.76,10.3,13.73,15.38,15.56,14.81,78.05,73.54,69.7,70.25,63.45,57.65,13.45,19.05,25.3,27.12,29.56,30.46,9.32,13.61,18.52,20.53,20.83,19.97,25.29,30.49,38.95,37.15,40.09,43.33,-1.72,1.56,14.83,16.83,22.41,19.84,2.79,3.27,2.95,2.29,2.47,2.22
2004,LIMESTONE,,,,15.83,17.25,20.37,19.48,24.57,22.76,1.62,5.67,2.67,9.06,2.17,3.17,9.24,10.53,14.04,17.12,16.64,15.09,75.33,77.23,78.7,83.76,74.52,68.26,17.01,18.73,23.17,25.61,27.33,27.22,12.04,14.23,18.87,22.43,21.89,20.06,26.99,29.75,34.57,34.78,35.73,38.08,3.22,5.19,7.63,19.49,19.34,16.95,3.07,3.18,3.34,2.36,2.32,2.14
